Components,Description,Link,Unit Price ($),Quantity,Total ($)
ESP32 Dev Board (microusb),Microcontroller,https://www.lazada.com.my//products/i4353659237-s24471519541.html?spm=a2o42.cart.0.0.22c449fbGTSCMw&urlFlag=true,$6.03,1,$6.03
128x64 1.3inch Oled display (I2C),UI display,https://www.lazada.com.my//products/i4565300946-s25774984786.html?spm=a2o42.cart.0.0.22c449fb6eFxMR&urlFlag=true,$5.49,1,$5.49
4 ohm speaker,Playing Music and Alarms,https://www.lazada.com.my//products/i4151232045-s23547423704.html?spm=a2o42.cart.0.0.22c449fbwiFS6y&urlFlag=true,$3.63,1,$3.63
MAX98357 amp,Amplify sound,https://www.lazada.com.my//products/i4826031585-s27348421411.html?spm=a2o42.cart.0.0.22c449fbApjeEP&urlFlag=true,$3.27,1,$3.27
Jumper wires (female to female),Connect the circuit,https://www.lazada.com.my//products/i3898574832-s22557322350.html?spm=a2o42.cart.0.0.22c449fbo2y2n2&urlFlag=true,$1.48,1,$1.48
USB to micro usb wire,Wire to power the circuit,https://www.lazada.com.my//products/i680990067-s1473880939.html?spm=a2o42.cart.0.0.161449fbwSSjc8&urlFlag=true,$1.57,1,$1.57
Button,Control the UI,https://www.lazada.com.my//products/i4842604827-s27498071360.html?spm=a2o42.cart.0.0.22c449fbWbdtFw&urlFlag=true,$0.66,1,$0.66
Optional (Larger songs storage),,,,,
Micro SD card ,Store MP3 files,https://www.lazada.com.my//products/i3905404564-s22583718858.html?spm=a2o42.cart.0.0.6c0849fbid6VEl&urlFlag=true&tradePath=%2CcartPriceDrop%2Ccart,$0.50,1,$0.50
Micro SD card holder,Connect to ESP32,https://www.lazada.com.my//products/i14860303701-s127831463438.html?spm=a2o42.cart.0.0.48e949fbNpEZoB&urlFlag=true,$1.13,1,$1.13
,,,,TOTAL:,$23.76
