Components,Description,Link,Unit Price ($),Quantity,Total ($)
ESP32 Dev Board (microusb),Microcontroller,https://www.lazada.com.my//products/i4353659237-s24471519541.html?spm=a2o42.cart.0.0.22c449fbGTSCMw&urlFlag=true,$6.03,1,$6.03
128x64 1.3inch Oled display (I2C),UI display,https://www.lazada.com.my//products/i4565300946-s25774984786.html?spm=a2o42.cart.0.0.22c449fb6eFxMR&urlFlag=true,$5.49,1,$5.49
4 ohm speaker,Playing Music and Alarms,https://www.lazada.com.my//products/i4151232045-s23547423704.html?spm=a2o42.cart.0.0.22c449fbwiFS6y&urlFlag=true,$3.63,1,$3.63
MAX98357 amp,Amplify sound,https://www.lazada.com.my//products/i4826031585-s27348421411.html?spm=a2o42.cart.0.0.22c449fbApjeEP&urlFlag=true,$3.27,1,$3.27
Jumper wires (female to female),Connect the circuit,https://www.lazada.com.my//products/i3898574832-s22557322350.html?spm=a2o42.cart.0.0.22c449fbo2y2n2&urlFlag=true,$1.48,1,$1.48
USB to wire cable,Wire to power the circuit,https://www.lazada.com.my//products/i4633393867-s26061046516.html?urlFlag=true,$1.75,1,$1.75
Push Button,Control the UI,https://www.lazada.com.my//products/i4842604827-s27498071360.html?spm=a2o42.cart.0.0.22c449fbWbdtFw&urlFlag=true,$0.66,1,$0.66
Screw (10 pcs),Locking in the PCB and components,https://www.lazada.com.my//products/i4663837363-s26181719273.html?spm=a2o42.cart.0.0.694349fbTLnR5Y&urlFlag=true&tradePath=%2CcartPriceDrop%2Ccart,$1.20,1,$1.20
Pin Header Female (1x40),Connecting ESP with PCB,https://www.lazada.com.my//products/i4663837363-s26181719273.html?spm=a2o42.cart.0.0.694349fbTLnR5Y&urlFlag=true&tradePath=%2CcartPriceDrop%2Ccart,$0.20,1,$0.20
DS3231 RTC module,Track local time offline,https://www.lazada.com.my//products/i131084606-s146041975.html?urlFlag=true&tradePath=%2CcartPriceDrop%2Ccart,$2.21,1,$2.21
Pin Header Male (1x40),Connecting components with PCB,https://www.lazada.com.my//products/i421963311-s614288662.html?spm=a2o42.cart.0.0.205e49fbD9sufk&urlFlag=true,$0.12,1,$0.12
0805 SMD Ceramic Capacitor,Prevent brownout/ ESP crashes,https://shopee.com.my/product/265108724/42621557099?gads_t_sig=gqRjZGVrxHCFomtpsTE0MjUxOnRzc19zZGtfa2V5omt20QABpGFsZ2_SAAAAZKNkZWvAomN0xEAAAAAMfaLqlfFS4JwQPCoOJZHE2YMfq1tWF61pnIIHqGuyOlpkjBotHu7Xpb0YRK1tULWVZdcpI_r9hw6jgE9CqmNpcGhlcnRleHTEcgAAAAzK8sUUlrCwcMKk9a0SwiLiCC20gLBuyJcZ9edYVaVfVC4qiirPhVFI10JFXxzyNrlFmVKy9L684qGk3CwNnUd_R1Q773Mac8oMMbwFYoMEr171Ci_Jd3StPbW3e3V8Gl7kPz0a6UYC2MLHzWYb1g&gad_source=4&gad_campaignid=23414583724&gbraid=0AAAAADPpYTI7987AX4xUsRROMpo-glA4o&gclid=Cj0KCQjw_7PRBhDcARIsAMjV7jm26zNzbeuwiaWfDsXtzZHh7YMk9gnTt4Rn9MIAhhCkjkzC5MXD8hYaAmJVEALw_wcB,$1.22,1,$1.22
Terminal Block 2p,To connect USB cable to esp,https://www.lazada.com.my//products/i4060872536-s22979351303.html?urlFlag=true,$0.12,1,$0.12
Hex Nut (M3),To lock in button PCB and slider ,https://www.lazada.com.my//products/i2448181222-s10645857289.html?urlFlag=true,$0.32,1,$0.32
Optional (Larger songs storage),,,,,
Micro SD card ,Store MP3 files,https://www.lazada.com.my//products/i3905404564-s22583718858.html?spm=a2o42.cart.0.0.6c0849fbid6VEl&urlFlag=true&tradePath=%2CcartPriceDrop%2Ccart,$0.50,1,$0.50
Micro SD card reader,Connect to ESP32,https://www.lazada.com.my//products/i14860303701-s127831463438.html?spm=a2o42.cart.0.0.48e949fbNpEZoB&urlFlag=true,$1.13,1,$1.13
,,,,TOTAL:,$29.33
